question,document
What’s the difference between the generic AI plugin and the vendor-specific ones in Kestra?,f442efe5b4
Is there a way to build a Kestra flow without editing YAML by hand?,bfe5502c30
"Does Kestra have a form-based no-code editor, or is it still like drag-and-drop tools?",bfe5502c30
Can AI Copilot create a workflow in Kestra from a plain English prompt and then let me tweak it later?,bfe5502c30
"What are external agent skills in Kestra, and can they generate and push flows from my editor?",bfe5502c30
"If I just want a simple automation like sending a Slack alert, should I use Kestra or something like Zapier/n8n instead?",bfe5502c30
Why do AI tools sometimes invent Kestra flow fields that don’t actually work in my version?,93a3e8b98c
How can I tell if a Kestra YAML generated by ChatGPT is using fake plugin properties?,93a3e8b98c
What’s the right way to write a GCS upload step in Kestra instead of using bucket and name?,93a3e8b98c
"In Kestra BigQuery load flows, why is destinationTable used instead of separate project, dataset, and table fields?",93a3e8b98c
How do I avoid getting invalid Kestra YAML from a generic assistant and make sure it matches the plugin docs?,93a3e8b98c
"Why do people keep an eye on token usage in Kestra flows, and how does that help with LLM costs?",a4adc70f41
How can token counts help me figure out if my prompts are too long or wasteful in a scheduled workflow?,a4adc70f41
What’s the point of tracking usage for every AI call in Kestra when the flow runs on a timer or loop?,a4adc70f41
"Can token monitoring in Kestra prevent a runaway job from getting expensive, and how would that work?",a4adc70f41
"Where do I get token usage from an LLM response in a Kestra task, and what do people usually do with it afterward?",a4adc70f41
Why do I get the Docker Desktop error saying mounts are denied because /tmp is not shared from the host?,dd8b4c9fda
How can I allow Docker Desktop to access /tmp or /tmp/kestra-wd when Kestra tries to mount it?,dd8b4c9fda
What do I need to change in Docker Desktop settings to fix the 'path is not shared from the host' error?,dd8b4c9fda
Where in Docker Desktop do I add a folder like /tmp to the file sharing list?,dd8b4c9fda
"After I add /tmp to Docker Desktop shared paths, do I need to restart anything before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what am I supposed to upload if I did everything in the Kestra UI and not in a normal code editor?",f29f622684
"Do I need to put the flow YAML files in my public repo for the homework submission, or is a README enough?",f29f622684
"If my Kestra flows call any scripts, should I also add those scripts to the repo I submit?",f29f622684
Where should I place the Kestra homework files in the repo before sharing the GitHub link?,f29f622684
"Are the written answers for Q1, Q2, etc. supposed to go in the repo too, or only in the submission form?",f29f622684
Why do I keep getting JSONDecodeError: Expecting value when I try to generate ground-truth questions with the LLM?,a3c7e1b4f9
How do I make the model return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What should I set in the OpenAI chat completion call so json.loads won't fail on the response?,a3c7e1b4f9
"Do I need to change my prompt too, or is response_format enough to get a JSON object back?",a3c7e1b4f9
What is the best way to ask the model for exactly 5 questions in a JSON key called questions?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4 eval?,b8f2d6a30c
What can I do if my notebook runs out of RAM while loading an embedding model and processing the data?,b8f2d6a30c
"Is there a lighter embedding model I can use in place of the default one, and do I need to re-run the evaluation after changing it?",b8f2d6a30c
How do I avoid memory issues if I want to embed the ground-truth set on a small machine like Codespaces or a low-end laptop?,b8f2d6a30c
Can I split the embedding of the ground-truth examples into batches or move it to a separate script so the notebook doesn’t crash?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop me from getting rate-limit errors when I build the ground-truth data with Gemini?,c1e9f4b820
"If Gemini free tier keeps failing on my long `tqdm` run, what are the best alternatives for generating the dataset without hitting limits so fast?",c1e9f4b820
"Is it okay to switch to `gpt-4o-mini` for this assignment, and is it actually cheap enough for the whole ground-truth set?",c1e9f4b820
How small should I make my thread pool if I want fewer API errors while generating the evaluation dataset?,c1e9f4b820
What's the easiest way to save my progress so I can continue the ground-truth generation after a quota error instead of starting over?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
"If Python says it can't load fbgemm.dll in site-packages\torch\lib on Windows, what should I install?",15e931476c
Is the solution for the PyTorch WinError 126 issue to add Visual C++ Redistributable or Visual Studio?,15e931476c
"Why do I get an OSError about fbgemm.dll missing in Windows, and how can I make it work?",15e931476c
"When torch fails with 'The specified module could not be found' for fbgemm.dll, what's the usual fix?",15e931476c
"I'm getting `OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`. What should I change so psycopg2 can connect?",4b65d5542d
"Why does `python prep.py` fail with `No such host is known` for `postgres`, and how do I fix the connection settings?",4b65d5542d
"When I start the prep script, it can't resolve the `postgres` host. Is there a `.env` value I need to update?",4b65d5542d
My database connection breaks with `psycopg2.OperationalError` saying it can't translate `postgres`. What host should I use instead?,4b65d5542d
How do I stop the host resolution error in `prep.py` if the config is pointing to `postgres`?,4b65d5542d
How do I make pandas show the full text in a column instead of cutting it off in the output?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the complete Explanation from the LLM judge without truncation?",641aedbbf5
What pandas setting should I change to display long cell contents all the way through?,641aedbbf5
"Why does pandas shorten my text columns, and how can I turn that off?",641aedbbf5
What’s the quickest way to show the entire content of a long text column in pandas?,641aedbbf5
How do I normalize each vector in a Pandas DataFrame column using NumPy?,5039707c1a
What's the easiest way to scale vectors to unit length in a Pandas Series?,5039707c1a
Can I use apply() to normalize vectors stored in one DataFrame column?,5039707c1a
How would I create a new column with normalized vectors from an existing one?,5039707c1a
Is there a simple lambda or one-liner for vector normalization in Pandas?,5039707c1a
How do I get the 75th percentile for a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How can I calculate the 0.75 quantile from a dataframe column in Python?,b4c8ac5a0c
Is there a simple one-liner to find a percentile in Pandas?,b4c8ac5a0c
How do I use Pandas to get the value at q=0.75 for a column?,b4c8ac5a0c
"How do I wipe all Docker containers from the terminal, including ones that are still running?",66ccbb7da0
What command removes every Docker image on my machine at once?,66ccbb7da0
Is there a quick way to delete all Docker volumes from the command line?,66ccbb7da0
"What terminal commands should I use if I want to clean out all Docker containers, images, and volumes completely?",66ccbb7da0
How can I force-remove all Docker stuff without deleting them one by one?,66ccbb7da0
"How can I make sure a user can only give one feedback vote, like +1 or -1, for each submission in Streamlit?",2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click one of the feedback buttons?,2e729f1271
What is the fix for the session state issue where the feedback buttons should stay disabled after a submission?,2e729f1271
"In Streamlit, how do I stop the submit state from changing again when a feedback button is pressed?",2e729f1271
Is there a known solution for the problem where `st.session.submitted` is reassigned unexpectedly in a feedback workflow?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails with `failed to create shim task` and says Streamlit isn’t in `$PATH`?,e8df9f0d12
Do I need both a Dockerfile and a Streamlit entry in docker-compose for this app to run correctly?,e8df9f0d12
How can I fix the docker-compose error where the container can’t find the `streamlit` command?,e8df9f0d12
"After updating my Dockerfile or compose config, what command should I run to rebuild the Streamlit container properly?",e8df9f0d12
"Is the capstone project supposed to be done in a team, or is it individual?",0fab61eca2
Can I work together with other students on a capstone idea and still submit it?,0fab61eca2
"If we build one shared system, can each person submit part of it for the capstone?",0fab61eca2
What do you mean by a shared project having separate qualifying components?,0fab61eca2
When does a collaborative capstone idea stop being acceptable for the course?,0fab61eca2
"Do I need to hand in two capstone projects, or is one enough for the course?",d5fc98925d
What exactly do attempt #1 and attempt #2 mean for the capstone submission?,d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two different projects just to get more practice, and if so do they need to be on different data and tasks?",d5fc98925d
"What happens if I miss the first submission deadline — can I still join in time for the second window, and does the project count if I skip peer reviews?",d5fc98925d
"Does the competition itself count as the capstone project, or are they separate?",e892d44e42
Can I use the math kaggle llm competition as my capstone submission?,e892d44e42
"Is the capstone in this course supposed to be done individually, even if I join a competition team?",e892d44e42
"If I participate in the math-kaggle-llm competition with a group, does that replace the capstone requirement?",e892d44e42
"Are teams allowed for the competition, and how does that relate to the individual capstone?",e892d44e42
"Who grades the capstone project, and is it only instructors or other students too?",9a2e2d2008
How many peer reviews does each project get in the capstone evaluation?,9a2e2d2008
Do I need to review other students’ capstone projects as well?,9a2e2d2008
What happens if I skip the required peer grading for the capstone?,9a2e2d2008
How is the final capstone score calculated from the reviewers’ grades?,9a2e2d2008
When do we get assigned the projects we need to review and grade for the capstone project?,eae0fb50aa
How are the capstone project reviews assigned to each participant after the deadline?,eae0fb50aa
Will each person have to grade one project or multiple projects in the capstone review process?,eae0fb50aa
Do we get a list or spreadsheet with the capstone projects we're supposed to evaluate?,eae0fb50aa
What happens after the capstone submission deadline in terms of peer grading assignments?,eae0fb50aa
"I already turned in my capstone project, but why do I still not see anything to review?",a8a7fef016
When are the projects for evaluation actually released after the submission deadline?,a8a7fef016
"Can I pick which student projects I want to grade, or are they assigned automatically?",a8a7fef016
Is it normal that I can’t start reviewing projects before the review list is published?,a8a7fef016
I submitted my project already — why do I have to wait instead of reviewing right away?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with some suggestions for the capstone project?,e76a70cde3
I’m trying to pick a topic for the project — where do I find ideas and data to use?,e76a70cde3
What’s the best place to get a few dataset and project options for the capstone?,e76a70cde3
"Can you point me to a page with ideas, datasets, and maybe some tips for the project?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing in plain Python, can I still get full points for the ingestion pipeline part?",d4f7c08ea1
"Is a Jupyter notebook with the same ingestion steps accepted for the capstone, or is it worth less than a script?",d4f7c08ea1
"Should I only use an orchestrator if my project really needs it, like when data changes every day?",d4f7c08ea1
Can I skip adding an orchestration tool just to get points on the capstone rubric?,d4f7c08ea1
How can I evaluate a recommender-style RAG when there isn’t a clear Q&A ground truth?,9b0e2d6a47
What’s a good way to create synthetic labels for item retrieval in this project?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG outputs, and how would that work?",9b0e2d6a47
"For ranking-style retrieval tasks, should I use hit rate or NDCG, and why?",9b0e2d6a47
How do I measure whether my retriever is putting the right items near the top when several answers could be valid?,9b0e2d6a47
"What chunk size should I start with for a big PDF corpus, and should I use overlap?",6f2a8b3d10
Is it worth asking an LLM to split documents into sections instead of using fixed chunks?,6f2a8b3d10
"Would adding a short summary to every chunk help retrieval, and how would I use it?",6f2a8b3d10
"For legal or financial docs, should I use BM25 plus dense search instead of only embeddings?",6f2a8b3d10
What tools are good for turning PDFs into clean markdown before I chunk them?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers actually need my API keys to run it?",e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Do I need to commit my secrets somewhere, or is there a safer way to handle environment variables in the project?",e5d8a2c761
What kind of model should I use in the project so reviewers don't waste too many credits when testing it?,e5d8a2c761
Which versions should I lock down for the capstone so the setup can be reproduced easily by another person?,e5d8a2c761
Can I do the homework and capstone in JavaScript or do I need to stick to Python?,ea815eb858
"If I build my project in Go, Rust, or Java instead of Python, is that allowed?",ea815eb858
What do I need to include in the README if I submit the project with a non-Python stack?,ea815eb858
"Will the reviewer accept a project in TypeScript, C#, Scala, or R if the setup is documented well?",ea815eb858
"For a Python alternative, how detailed should the install and run steps be so the project is still easy to reproduce?",ea815eb858
Where do I look if I want to see some past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous project submissions for the LLM Zoomcamp?,930286278d
Can you share the links to older LLM Zoomcamp projects from 2024 and 2025?,930286278d
I’m trying to understand the level of the capstone project — where can I browse examples from earlier cohorts?,930286278d
Do you have any public repository pages with submitted LLM Zoomcamp projects I can check out?,930286278d
Do I have to announce my capstone project idea before I start working on it?,897a350476
Is there any need to reserve a project topic in the LLM Zoomcamp capstone?,897a350476
Can I get feedback on my project idea somewhere before I begin?,897a350476
Is it okay if my capstone project is similar to one from a previous year?,897a350476
"Do I need to claim an original topic, or can I just start building my own version?",897a350476
Can I make my capstone project as a Telegram bot instead of a web app?,7318a90b14
Is it okay to use WhatsApp or Slack as the user interface for the project?,7318a90b14
"Do I have to build a web app for the capstone, or can I choose another frontend?",7318a90b14
"Are there any rules about how the project should be exposed to users, like CLI or notebook?",7318a90b14
Does the course explain how to create Telegram or WhatsApp interfaces for the capstone project?,7318a90b14
What are some good tools for pulling text out of PDFs for a RAG app?,d8b28c47a0
"If my PDFs are scanned images with no text layer, what should I use to read them?",d8b28c47a0
Is there any recommended library for turning PDFs into Markdown or JSON for document search?,d8b28c47a0
"Do I need to follow a specific extractor for the capstone, or can I choose whatever works best?",d8b28c47a0
What options are there if I want to use OCR without running it on my own machine?,d8b28c47a0
"Can I reuse the workshop stuff in my own capstone project, or is it only for class use?",d850a0e7ea
Is it okay to take the dlt workshop content and apply it to another project outside this workshop?,d850a0e7ea
"Since dlt is open source, can I use it in other Zoomcamp projects too, like MLOps?",d850a0e7ea
Am I allowed to share or use these workshop materials directly in my own work?,d850a0e7ea
What’s the rule for using the dlt workshop materials in personal or course projects?,d850a0e7ea
How do I start a new dlt project for loading data from cloud storage into DuckDB?,6bceeebf04
What command should I run to initialize a filesystem source with dlt?,6bceeebf04
I want to load files from the cloud using dlt and DuckDB — what’s the setup command?,6bceeebf04
How do I create a fresh dlt pipeline project for a filesystem source?,6bceeebf04
What’s the quickest way to init dlt for filesystem-to-duckdb loading?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name, but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
What should I check if `FileNotFoundError` says the table doesn’t exist even though I expected it to be created?,0407213397
"In the dlt workshop, why would the pipeline still look for `employee_handbook` after I renamed it to homework?",0407213397
How do I fix the setup so `notion_pages___homework` can be opened without the table-not-found error?,0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
"How do I fix the error saying I need to call db.create_table(notion_pages___homework, data) first?",e95bfafc0e
"In the Open-Source Data Ingestion workshop, what should line 3 be if open_table is failing for notion_pages___homework?",e95bfafc0e
I keep getting a table not found error for notion_pages___homework — which table name am I supposed to open?,e95bfafc0e
What’s the correct db.open_table call for the homework table in the Notion pages ingestion example?,e95bfafc0e
How can I see all the tables that exist in the database?,e394e6f738
Is there a quick way to get a list of every table in my db?,e394e6f738
What method should I call if I want to check which tables are available?,e394e6f738
How do I find out the table names in the database from code?,e394e6f738
Where can I view all tables currently stored in the database?,e394e6f738
Does DLT already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in DLT for ClickHouse or StarRocks?,cd19f122f3
"If DLT doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
"Has DLT added support for ClickHouse or StarRocks yet, or is it still missing?",cd19f122f3
How do I fix a 401 Unauthorized error when my notebook tries to call the Notion API search endpoint?,0dfba07ace
What should I check first if I get an auth error from api.notion.com/v1/search in the dlt workshop notebook?,0dfba07ace
"Could this be caused by a bad or expired Notion token, and how do I confirm that?",0dfba07ace
"Why does my notebook say it doesn’t have secret access when using Notion, and what permissions should I verify?",0dfba07ace
"If the Notion API request keeps failing with Unauthorized, what setup or config issues should I review?",0dfba07ace
"Why does pip keep giving me requests 2.28 when I need 2.32 for lancedb, and what’s the right install command?",4b30b918bc
How can I install requests straight from GitHub so I get v2.32.3 instead of the older version?,4b30b918bc
I’m getting a 401 Client Error with the key — does that mean the access is wrong or the key itself is bad?,4b30b918bc
What’s the exact pip command to force the requests package version needed by lancedb?,4b30b918bc
Is there a way to bypass the default requests install and pull the tagged v2.32.3 release directly?,4b30b918bc
