question,answer_llm,answer_orig,document
"After adding credits, do I need to make a new API key or can I keep the old one?","You can keep the old one. After adding credits, there’s no need to create a new API key.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"In responses.create, how do I know which model I’m allowed to use on my account?",I don't know.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much does it usually cost to use the OpenAI API in this course?,Using the OpenAI API for the course should cost very little — usually just fractions of a cent at the beginning. You can recharge starting from $5.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I need to spend a lot of money to start using the OpenAI API?,"No. Using the OpenAI API for the course should cost very little, and you can start by recharging from $5. Initial usage is usually fractions of a cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What’s the minimum amount I can top up my OpenAI account with?,The minimum is **$5**.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Is the OpenAI API expensive for the course assignments, or just a few cents?","It should cost very little — the course says you can recharge starting from $5, and initial usage is usually fractions of one cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
About how much should I expect to pay if I use the OpenAI API for the course?,"Using the OpenAI API for the course should cost very little — you can recharge starting from **$5**, and initial usage is usually **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?","No, you don’t need to pay for the OpenAI API to finish the course homework. The course provides free or low-cost alternatives, and you can also use other LLM providers or even run a model locally.

If you want, you can check the course repo’s list of OpenAI API alternatives.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Is it required to have a paid OpenAI subscription for this course, especially for the RAG module assignments?","No. You do **not** need a paid OpenAI subscription to complete the course or the RAG module assignments.

You can use free or low-cost alternatives instead, and the course is **not tied to OpenAI**. If you want, you can also use other providers or local models.

If you do use the OpenAI API, the context says the cost should be very low, and you can recharge starting from $5.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"If I don't want to use OpenAI API, what cheaper or free alternatives are acceptable for the course?","Yes — you don’t have to use the OpenAI API.

Acceptable cheaper or free alternatives for the course include:

- **Groq**
- **OpenRouter**
- **DeepSeek**
- **Gemini**
- **Z.ai**
- **Mistral**
- **Azure OpenAI**
- **Hugging Face hosted open models** like **Qwen** or **Llama**
- **Local models** run with **Ollama**, **vLLM**, or **LM Studio**

Anything with an **OpenAI-compatible endpoint** will usually work with only a `base_url` change. You can also use the course repo’s list of **OpenAI API alternatives** in `awesome-llms.md`.

If you want, I can also help you choose the cheapest option that works best for your setup.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Can I complete the homework without buying access to OpenAI's API, and where do I find the alternative tools?","Yes — you can complete the homework without buying access to OpenAI’s API.

For alternatives, check the course repo list of **OpenAI API alternatives** here:
https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives

The context also says you can use:
- free or low-cost hosted providers,
- open models via Hugging Face,
- local tools like **Ollama**, **vLLM**, or **LM Studio**.

So you do **not** need to subscribe to OpenAI to finish the homework.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"For this course, is there any reason I must subscribe to OpenAI API, or can I stick with the GitHub-listed alternatives?","No — you do **not** have to subscribe to OpenAI API for this course. The homework is designed so you can use **free or low-cost alternatives** from the course GitHub repo, and the course is **not tied to OpenAI**.

You can also use:
- other hosted providers like **Groq, OpenRouter, Gemini, Mistral, DeepSeek, Z.ai**
- **local models** via Ollama, vLLM, LM Studio, etc.
- any provider with an **OpenAI-compatible endpoint**

So yes, you can stick with the GitHub-listed alternatives.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course use uv instead of pip and virtualenv?,"The course uses `uv` because it’s faster and more convenient than `pip` and `virtualenv`. It’s an all-in-one tool that can replace several traditional Python tools and gives reproducible lockfiles, so setup is simpler and quicker.

You don’t have to use it, though — `pip` and `virtualenv` still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What’s the benefit of using uv for Python setup in this course?,"The benefit of using `uv` in this course is that it makes setup **simpler and faster**.

It’s an all-in-one tool that replaces several traditional Python tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, so you can manage Python versions, virtual environments, and dependencies with one fast command and reproducible lockfiles.

You don’t have to use it, though — `pip` and `virtualenv` still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv, or can I still use pip and virtualenv?","No — you don’t have to use `uv`. `pip` and `virtualenv` still work fine.

The course uses `uv` because it’s faster and simpler for managing Python versions, virtual environments, and dependencies, but it’s not required.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What does uv replace compared to the usual Python tools like pip-tools or poetry?,"`uv` replaces several traditional Python tools, including **pip-tools** and **poetry**.

More broadly, it replaces:

- `pip`
- `virtualenv`
- `pip-tools`
- `pipx`
- `poetry`
- `pyenv`
- `twine`

So instead of juggling separate tools, you manage Python versions, virtual environments, and dependencies with one fast command.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why is uv considered a simpler choice for managing environments and dependencies?,"Because `uv` is an all-in-one tool: it replaces several separate tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`. That means you can manage Python versions, virtual environments, and dependencies with one fast command and reproducible lockfiles instead of juggling multiple tools.

","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I put it in .env?,"Make sure you installed and used `python-dotenv`, then load the `.env` file in your notebook before creating the OpenAI client:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly:

```env
OPENAI_API_KEY=sk-...
```

If it still says missing, I don't know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv for the OpenAI key to show up in Jupyter?,"Yes — if you want the key from your `.env` file to show up in Jupyter, you should use `python-dotenv`.

In the notebook:

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure:

- `python-dotenv` is installed:
  ```bash
  pip install python-dotenv
  ```
- your `.env` file contains the exact name:
  ```bash
  OPENAI_API_KEY=...
  ```

If it still doesn’t appear, I don't know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before making the OpenAI client?,"Call `load_dotenv()` **before** creating the OpenAI client, after importing it:

```python
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(...)
```

So the `.env` values are loaded into environment variables before `OpenAI(...)` reads them.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What exact name should the API key variable have in my .env file?,`OPENAI_API_KEY`,"Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I get Jupyter to read my .env file so OPENAI_API_KEY works?,"In your Jupyter notebook, load the `.env` file before you try to read `OPENAI_API_KEY`:

```python
from dotenv import load_dotenv
load_dotenv()
```

Make sure you have `python-dotenv` installed:

```bash
pip install python-dotenv
```

Then you can access the variable with:

```python
import os
os.getenv(""OPENAI_API_KEY"")
```

Also check that your `.env` file contains the exact name `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,"Store them in a `.env` file and load them in Python with `python-dotenv`.

1. Add `.env` to `.gitignore`:
```gitignore
.env
```

2. Create a `.env` file:
```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

3. Install `python-dotenv`:
```bash
pip install python-dotenv
```

4. Read the variables in Python:
```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Don’t commit `.env` to Git.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from environment variables?,"The easiest way is to use a `.env` file with `python-dotenv`:

```bash
pip install python-dotenv
```

Then in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Make sure your `.env` contains:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

And add `.env` to `.gitignore` so it won’t be committed.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Do I need to add .env to .gitignore when using python-dotenv?,"Yes. Add `.env` to `.gitignore` so your API keys are never committed:

```gitignore
.env
```

The course recommends storing keys in `.env` and loading them with `python-dotenv`, but keeping `.env` out of Git.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
How can I set up a .env file for LLM API keys without committing secrets to git?,"Create a `.env` file in your project root, put your API keys there, and add `.env` to `.gitignore` so it never gets committed.

Example:

```gitignore
.env
```

```bash
# .env
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Then load it in Python with `python-dotenv`:

```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

If you want the keys loaded automatically when you enter the folder, you can also use `dirdotenv`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What package should I install to use a .env file for API keys in a RAG project?,"Install **`python-dotenv`**:

```bash
pip install python-dotenv
```

Then you can load your `.env` file in Python with:

```python
from dotenv import load_dotenv
load_dotenv()
```","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"Is the homework model choice fixed, or can I swap in a different LLM provider?","No — the homework model choice is not fixed. You can swap in a different LLM provider, including OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.  

If you change providers, you may need to adapt the code because response formats, tool schemas, and tokenizers can differ.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Do I have to use the recommended API for the RAG assignment, or are other models okay too?","No. The recommended API is not mandatory.

You can use OpenAI or other providers/models too, including Groq, Gemini, OpenRouter, Azure OpenAI, local models, or any OpenAI-compatible endpoint. The homework is designed so you do not need a paid service, but you may need to adapt the code because different providers can have different response formats and tokenizers.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Can I do the homework with OpenAI alternatives like Gemini, Groq, OpenRouter, or a local model?","Yes. You can do the homework with Gemini, Groq, OpenRouter, a local model, or another provider.

The course is **not tied to OpenAI**. If your provider is OpenAI-compatible, you usually just need to change:

- `base_url`
- API key
- model name

A few notes:

- **OpenRouter:** set a reasonable `max_output_tokens` limit, or you may get a `402` error.
- **Groq / other OpenAI-compatible providers:** use the chat-completions endpoint if the provider doesn’t support OpenAI’s `responses.create`.
- **Local models:** Ollama, LM Studio, vLLM, etc. are fine too, and often expose an OpenAI-compatible API.

So yes — Gemini, Groq, OpenRouter, and local models are all acceptable options.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I use another provider for the assignment, will I need to change the code because of different outputs or tokenization?","Yes, possibly.

If you use a different provider, you may need to adapt the code because:

- response formats can differ,
- tool schemas can differ,
- tokenizers differ.

For token counts, you should get them from the model’s response object if the provider provides usage info. If not, use that provider’s native tokenizer as an approximation. Do not rely on `tiktoken` / `cl100k_base` as a universal tokenizer for all providers.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Does the course require a paid LLM service for Module 1, or can I complete it with free or local options?","No, you don’t need a paid LLM service for Module 1. The homework is designed so you can complete it with free or low-cost alternatives, including local models.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
How do I set up Gemini in the Module 1 notebook with the OpenAI-compatible API URL?,"Set up Gemini in the Module 1 notebook like this:

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)
```

Then use the Gemini model name in your request, for example:

```python
response = client.chat.completions.create(
    model=""gemini-3.1-flash-lite"",
    messages=[
        {""role"": ""developer"", ""content"": ""You are helpful.""},
        {""role"": ""user"", ""content"": ""Hello!""}
    ]
)
```

If you want, you can wrap it in a helper function like this:

```python
def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

You need:
1. A Gemini API key in your `.env` file, e.g. `GEMINI_API_KEY`
2. The OpenAI client pointed at Google’s OpenAI-compatible base URL
3. The Gemini model name in `model=...`

","To get started you need three things:

1. A Gemini API key saved in your `.env` file, for example as `GEMINI_API_KEY`.
2. An OpenAI client pointed at Google’s OpenAI-compatible base URL.
3. Your selected Google Gemini model name in your request.

Example code (loads the API key from `.env`, creates the Gemini client, and defines the `llm` helper):

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

This uses the older chat completions style via the OpenAI-compatible endpoint, whereas many course examples use the newer Responses format. That means you will need to change the notebook code in a few places, especially where it reads the model response and where it handles tools or function calls.",0ae5c221b9
What do I need in my .env file before I can call Google Gemini from the course notebook?,"You need a Gemini API key in your `.env` file, for example:

```env
GEMINI_API_KEY=your_key_here
```

Also make sure you load it in the notebook with `python-dotenv` and `load_dotenv()`.","To get started you need three things:

1. A Gemini API key saved in your `.env` file, for example as `GEMINI_API_KEY`.
2. An OpenAI client pointed at Google’s OpenAI-compatible base URL.
3. Your selected Google Gemini model name in your request.

Example code (loads the API key from `.env`, creates the Gemini client, and defines the `llm` helper):

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

This uses the older chat completions style via the OpenAI-compatible endpoint, whereas many course examples use the newer Responses format. That means you will need to change the notebook code in a few places, especially where it reads the model response and where it handles tools or function calls.",0ae5c221b9
Why does the notebook code use OpenAI client settings when I’m actually running Gemini?,"Because the notebook is using the **OpenAI Python client as a generic wrapper**, not necessarily the OpenAI API itself.

With Gemini via Google’s **OpenAI-compatible endpoint**, you still write code like:

- `OpenAI(...)`
- `client.chat.completions.create(...)`

but you change:

- the **API key** to your Gemini key
- the **base_url** to Google’s OpenAI-compatible URL
- the **model name** to a Gemini model

So the code looks “OpenAI-like” because the **endpoint speaks the OpenAI protocol**, even though the model is Gemini.

In short: the notebook uses OpenAI client settings for **compatibility and convenience**, not because it’s actually calling OpenAI.","To get started you need three things:

1. A Gemini API key saved in your `.env` file, for example as `GEMINI_API_KEY`.
2. An OpenAI client pointed at Google’s OpenAI-compatible base URL.
3. Your selected Google Gemini model name in your request.

Example code (loads the API key from `.env`, creates the Gemini client, and defines the `llm` helper):

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

This uses the older chat completions style via the OpenAI-compatible endpoint, whereas many course examples use the newer Responses format. That means you will need to change the notebook code in a few places, especially where it reads the model response and where it handles tools or function calls.",0ae5c221b9
"Can I use the old chat completions approach with Gemini, and what needs to change in the notebook?","Yes — you can use the old `chat.completions` approach with Gemini via Google’s OpenAI-compatible endpoint.

What needs to change in the notebook:
- Use the Gemini API key from your `.env` file, e.g. `GEMINI_API_KEY`
- Point the OpenAI client to:
  `https://generativelanguage.googleapis.com/v1beta/openai/`
- Replace the model name with a Gemini model, e.g. `gemini-3.1-flash-lite`
- Adjust the notebook code where it reads the model response, since the course examples often use the newer `Responses` API
- Also update any code that handles tools or function calls, because the older chat-completions style differs there

So the main change is: keep the OpenAI SDK, but switch the endpoint, key, model name, and some response/tool-handling code.","To get started you need three things:

1. A Gemini API key saved in your `.env` file, for example as `GEMINI_API_KEY`.
2. An OpenAI client pointed at Google’s OpenAI-compatible base URL.
3. Your selected Google Gemini model name in your request.

Example code (loads the API key from `.env`, creates the Gemini client, and defines the `llm` helper):

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

This uses the older chat completions style via the OpenAI-compatible endpoint, whereas many course examples use the newer Responses format. That means you will need to change the notebook code in a few places, especially where it reads the model response and where it handles tools or function calls.",0ae5c221b9
What model name should I pass when I call Gemini through the OpenAI-compatible endpoint in RAG module 1?,Use `gemini-3.1-flash-lite` as the model name.,"To get started you need three things:

1. A Gemini API key saved in your `.env` file, for example as `GEMINI_API_KEY`.
2. An OpenAI client pointed at Google’s OpenAI-compatible base URL.
3. Your selected Google Gemini model name in your request.

Example code (loads the API key from `.env`, creates the Gemini client, and defines the `llm` helper):

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

def llm(instructions, user_prompt, model=""gemini-3.1-flash-lite""):
    message_history = [
        {""role"": ""developer"", ""content"": instructions},
        {""role"": ""user"", ""content"": user_prompt}
    ]

    response = client.chat.completions.create(
        model=model,
        messages=message_history
    )

    return response.choices[0].message.content
```

This uses the older chat completions style via the OpenAI-compatible endpoint, whereas many course examples use the newer Responses format. That means you will need to change the notebook code in a few places, especially where it reads the model response and where it handles tools or function calls.",0ae5c221b9
